Sample_number,Reference,Volcanic Zone,Volcanic Zone specific,Volcanic System,Location,Site,Systems,time,Age yrs BP (Ref 1950),age error,Eruption type,Latitiude,Longitude,Type,SiO2,TiO2,Al2O3,Cr2O3,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SrO,BaO,H2O,sum,Pressure_min,Probability
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.51,1.63,13.18,0,11.62,0,0.15,6.62,10.61,2.25,0.12,0.13,0,0,0,94.82,2.101224725,0.820780956
3,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.6,1.6,13.29,0,11.1,0,0.21,6.7,9.8,2.29,0.17,0.16,0,0,0,94.92,3.008800905,0.948522955
3,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.62,1.49,13.28,0,12.02,0,0.17,6.94,10.86,2.32,0.11,0.15,0,0,0,95.96,2.827665919,0.99690378
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.9,1.6,13.31,0,11.88,0,0.18,6.87,9.97,2.33,0.17,0.17,0,0,0,95.38,3.861820429,0.985868708
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.28,1.51,13.41,0,12.19,0,0.2,6.89,10.74,2.19,0.16,0.18,0,0,0,95.75,3.436414625,0.972566185
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.6,1.53,13.28,0,11.87,0,0.18,6.94,9.87,2.24,0.18,0.15,0,0,0,94.84,4.332758106,0.962293025
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,47.74,1.92,12.79,0,13.24,0,0.2,6.07,10.31,2.38,0.2,0.24,0,0,0,95.09,2.045082933,0.868846652
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.82,1.53,13.38,0,12.05,0,0.2,6.97,10.46,2.26,0.15,0.22,0,0,0,96.04,3.624446017,0.998333642
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.61,1.48,13.38,0,11.79,0,0.2,6.93,10.4,2.24,0.22,0.14,0,0,0,95.39,3.519945539,0.995056839
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.19,1.55,13.41,0,12.29,0,0.18,6.85,10.92,2.11,0.19,0.16,0,0,0,96.85,2.62132794,0.924404575
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.32,1.52,13.37,0,11.93,0,0.18,6.82,11.43,2.28,0.14,0.2,0,0,0,97.19,1.360997896,0.885731169
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.11,1.54,13.48,0,11.84,0,0.22,6.84,10.82,2.3,0.17,0.2,0,0,0,95.52,3.114706792,0.938820618
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.14,1.67,12.92,0,13.32,0,0.23,6.16,10.24,2.42,0.24,0.19,0,0,0,95.53,2.474151828,0.967393143
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.48,1.82,12.65,0,13.27,0,0.19,5.95,9.65,2.41,0.25,0.22,0,0,0,94.89,2.294075127,0.972736948
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.59,1.88,12.55,0,13.52,0,0.14,6,9.27,2.46,0.14,0.21,0,0,0,94.76,3.043774451,0.992928606
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.51,1.59,13.4,0,11.97,0,0.19,6.99,10.86,2.06,0.15,0.15,0,0,0,95.87,3.196127544,0.948012355
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.05,1.63,13.01,0,11.82,0,0.16,6.99,10.11,2.24,0.15,0.21,0,0,0,95.37,3.357279985,0.869151743
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.63,1.69,13.52,0,11.92,0,0.21,6.98,10.11,2.39,0.17,0.17,0,0,0,96.79,3.801742464,0.990146705
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,47.97,1.66,13.5,0,11.98,0,0.19,7.08,10.03,2.27,0.18,0.13,0,0,0,94.99,5.061700385,0.95773137
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.42,1.6,13.26,0,11.61,0,0.18,7.01,9.45,2.28,0.16,0.15,0,0,0,95.12,4.584432974,0.891367435
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.05,1.73,13.6,0,11.68,0,0.19,7.1,10.27,2.28,0.15,0.15,0,0,0,95.2,4.632584427,0.995073384
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.33,1.64,13.38,0,11.82,0,0.16,6.9,11.86,2.24,0.14,0.12,0,0,0,97.59,0.750052531,0.861344034
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.35,1.8,12.7,0,12.74,0,0.16,6.5,9.72,2.48,0.17,0.18,0,0,0,94.8,3.212197172,0.816156507
21,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.82,1.91,12.95,0,12.93,0,0.18,6.32,10.84,2.37,0.19,0.2,0,0,0,96.71,1.244863878,0.897835682
8,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.52,1.68,13.43,0,11.78,0,0.16,6.99,11.91,2.18,0.13,0.25,0,0,0,98.03,0.874229665,0.848855225
8,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.42,1.71,13.23,0,11.88,0,0.16,6.87,11.72,2.24,0.14,0.13,0,0,0,97.5,0.64684312,0.921392052
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.66,1.64,13.21,0,11.82,0,0.14,6.85,12.45,2.18,0.16,0.14,0,0,0,98.25,-0.706287966,0.822176549
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.92,1.64,12.89,0,11.93,0,0.21,6.95,12.44,2.23,0.14,0.17,0,0,0,98.52,-0.981394264,0.999555536
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.73,1.53,12.83,0,11.83,0,0.17,6.61,12.51,2.32,0.13,0.13,0,0,0,98.79,-2.374065241,0.873609526
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.32,1.57,12.96,0,11.74,0,0.2,6.82,12.5,2.2,0.15,0.16,0,0,0,97.62,-1.083829308,0.922645053
16,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.24,1.59,12.93,0,11.74,0,0.19,6.76,12.59,2.24,0.13,0.13,0,0,0,98.54,-1.847831113,0.877653221
12,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.33,1.67,12.63,0,11.58,0,0.15,6.6,12.17,2.25,0.13,0.14,0,0,0,96.65,-1.756205792,0.925527367
12,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.76,1.55,12.73,0,11.94,0,0.18,6.69,12.11,2.11,0.14,0.17,0,0,0,97.38,-1.151028304,0.930709384
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.42,1.57,13.84,0,11.98,0,0.18,7.05,11.89,2.28,0.19,0.17,0,0,0,99.57,1.29791537,0.832815271
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.56,1.59,13.3,0,11.87,0,0.17,6.92,11.88,2.19,0.18,0.2,0,0,0,98.86,0.117303629,0.924718317
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.21,1.6,13.4,0,11.69,0,0.18,7.08,11.88,2.25,0.18,0.23,0,0,0,98.7,0.64672742,0.984747891
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.41,1.65,13.43,0,11.79,0,0.23,6.98,12.29,2.28,0.17,0.16,0,0,0,99.39,-0.207257628,0.893907423
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.12,1.63,12.91,0,11.82,0,0.22,6.83,12.52,2.45,0.17,0.19,0,0,0,98.86,-1.586295342,0.998913291
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.45,1.56,12.96,0,12.21,0,0.16,6.85,12.63,2.26,0.21,0.17,0,0,0,99.46,-1.492730802,0.996545095
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.15,1.64,13.59,0,11.66,0,0.15,7.04,12.17,2.26,0.14,0.19,0,0,0,98.99,0.397266408,0.826806284
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.9,1.55,13.6,0,11.56,0,0.15,7.2,11.78,1.98,0.13,0.17,0,0,0,98.02,1.568807253,0.829587335
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.96,1.58,13.78,0,11.76,0,0.11,7.33,11.5,2.31,0.11,0.18,0,0,0,97.62,3.074364617,0.992301941
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.35,1.46,13.81,0,11.8,0,0.15,7.34,11.94,1.99,0.13,0.12,0,0,0,99.09,1.894504968,0.866725638
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.09,1.6,13.86,0,11.83,0,0.18,7.31,11.66,1.96,0.14,0.14,0,0,0,98.77,2.466563943,0.820587495
4,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50,1.59,13.19,0,11.73,0,0.18,6.86,12.6,2.19,0.16,0.16,0,0,0,98.66,-1.140062598,0.821211949
24,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.24,1.91,12.37,0,13.01,0,0.17,5.92,11.05,2.44,0.16,0.16,0,0,0,97.43,-1.468742287,0.860357931
24,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.14,1.74,12.36,0,12.93,0,0.15,6.07,11.28,2.46,0.18,0.15,0,0,0,97.46,-1.495588567,0.982931955
24,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.13,1.73,12.54,0,13.19,0,0.2,6.19,11.31,2.59,0.17,0.13,0,0,0,98.18,-0.855143928,0.996340969
24,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,51.05,1.79,12.82,0,12.84,0,0.2,6.13,11.05,2.47,0.16,0.12,0,0,0,98.63,-0.742760259,0.809356693
5,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,49.75,1.81,13.3,0,12.74,0,0.18,6.75,11,2.04,0.15,0.16,0,0,0,97.88,2.089197111,0.822656232
1,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.13,1.91,13.79,0,13.33,0,0.19,6.92,10.94,2.25,0.17,0.17,0,0,0,99.8,3.369673176,0.913977824
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.65,1.83,13.56,0,12.78,0,0.2,6.58,10.83,2.62,0.27,0.16,0,0,0,97.48,2.707437837,0.985397558
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.5,1.82,13.9,0,12.96,0,0.16,6.54,11.36,2.73,0.2,0.22,0,0,0,98.39,2.573371598,0.80266199
2,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,48.88,1.83,12.78,0,12.75,0,0.16,6.25,10.79,2.48,0.2,0.22,0,0,0,96.34,0.73558288,0.973336551
10,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,51.43,1.46,13.1,0,12.31,0,0.15,6.58,10.61,2.03,0.18,0.14,0,0,0,97.99,1.259399011,0.887866043
10,Sigurgeirsson__1992,RVB,REP,Reykjanes,0,0,Reykjanes,0,0,0,0,0,0,tholeiite,50.53,1.45,13.09,0,12.65,0,0.19,7.02,11.54,2.17,0.14,0.1,0,0,0,98.88,1.142115086,0.968326596
S-10-05,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.68,1.53,15.05,0,11.23,0,0.19,7.85,12.46,2.19,0.36,0.19,0,0,0,100.75,3.969515034,0.918412742
S-08-01-gl,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,50.61,1.59,14.6,0,11.58,0,0.2,7.6,12.63,2.2,0.28,0.23,0,0,0,101.52,2.192525421,0.84946449
S-10-08,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.18,1.54,14.73,0,11.24,0,0.2,7.82,12.49,2.14,0.31,0.18,0,0,0,99.82,3.710589297,0.960528786
S-10-09,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.65,1.55,14.67,0,11.33,0,0.2,7.83,12.52,2.16,0.26,0.19,0,0,0,100.36,3.39275053,0.957861446
S-10-10,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,50.14,1.55,14.58,0,11.43,0,0.2,7.87,12.62,2.19,0.3,0.17,0,0,0,101.05,2.929049737,0.996763854
S-10-14,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.69,1.55,14.77,0,11.28,0,0.2,7.96,12.6,2.14,0.27,0.17,0,0,0,100.62,3.662977717,0.980474456
S-10-15,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,52.55,1.45,13.88,0,10.59,0,0.18,7.33,11.81,2.46,0.3,0.17,0,0,0,100.71,0.158547942,0.996187387
S-10-16,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.4,1.55,14.64,0,11.37,0,0.2,8.27,12.96,2.06,0.26,0.2,0,0,0,100.91,3.901079827,0.937429759
S-10-17,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.13,1.51,14.69,0,11.15,0,0.19,7.94,12.41,2.12,0.31,0.17,0,0,0,99.62,3.999564669,0.995484948
S-10-22,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.87,1.56,14.58,0,11.45,0,0.2,8.22,12.79,2.05,0.3,0.21,0,0,0,101.23,3.658849863,0.921541741
S-10-26,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,54.12,1.34,13.94,0,9.94,0,0.17,7.08,11.11,2.69,0.17,0.15,0,0,0,100.73,0.065615639,0.971716443
E-11-02,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,47.83,1.71,15.34,0,12.12,0,0.2,8.52,11.79,2.18,0.17,0.15,0,0,0,100,8.953556646,0.840398086
S-10-25,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.3,1.56,14.58,0,11.48,0,0.2,8,12.41,2.17,0.34,0.19,0,0,0,100.22,4.045628032,0.935398779
S-10-24,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.25,1.55,14.71,0,11.25,0,0.2,7.75,12.39,2.15,0.32,0.16,0,0,0,99.74,3.607434236,0.942059446
E-08-01-gl,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.86,1.57,14.72,0,11.54,0,0.2,7.79,12.37,2.17,0.21,0.22,0,0,0,100.66,3.653221035,0.907370954
E-08-03-gl,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,49.56,1.55,14.75,0,11.5,0,0.2,7.81,12.35,2.18,0.24,0.22,0,0,0,100.35,3.914844425,0.94147501
E-08-04,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,50.18,1.58,14.62,0,11.64,0,0.2,7.99,12.33,2.18,0.52,0.16,0,0,0,101.4,3.623025463,0.800746033
E-11-01,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,47.88,1.72,15.4,0,12.13,0,0.2,8.37,11.76,2.21,0.16,0.15,0,0,0,100,8.733629347,0.954079708
E-11-03,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,47.95,1.68,15.45,0,11.98,0,0.2,8.5,11.72,2.2,0.17,0.15,0,0,0,100,8.998449395,0.905696528
E-11-05,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,48.78,1.44,15.15,0,10.86,0,0.19,8.74,12.48,2.07,0.23,0.14,0,0,0,99.99,6.518924896,0.818701823
E-11-06,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,48.04,1.75,15.32,0,12.21,0,0.2,8.15,11.79,2.2,0.17,0.15,0,0,0,100,7.979215633,0.994467339
S-10-23,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,47.57,1.79,15.57,0,12.03,0,0.2,7.95,11.3,2.18,0.27,0.19,0,0,0,98.95,8.78407106,0.921773719
S-11-02,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,47.98,1.74,15.39,0,12.14,0,0.2,8.25,11.76,2.2,0.18,0.16,0,0,0,99.99,8.360669233,0.989488863
E-08-02-gl,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,48.51,1.75,15.09,0,12.36,0,0.21,8.01,11.77,2.25,0.25,0.17,0,0,0,100.36,7.013893453,0.981882526
12BRE631,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Pillow Lava,47.99,1.64,16.16,0,11.36,0,0.19,8.44,11.83,2.12,0.15,0.15,0,0,0,99.99,9.437011039,0.825140453
S-10-20,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Dike,49.66,1.59,14.98,0,11.55,0,0.19,8.22,11.24,2.35,0.18,0.15,0,0,0,100.12,6.714967318,0.90798484
S-10-21,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Dike,48.34,1.66,15.44,0,12,0,0.2,8.39,11.85,2.2,0.2,0.13,0,0,0,100.42,8.247082206,0.959885723
S-08-02-gl,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Dike,51.47,1.56,14.19,0,11.17,0,0.19,7.29,11.48,2.43,0.49,0.14,0,0,0,100.42,1.67276581,0.980864491
S-08-03,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Dike,50.32,1.69,15.55,0,12.23,0,0.2,8.48,11.95,2.3,0.11,0.13,0,0,0,102.96,7.254450434,0.986644458
12BRE630,"Pollock et al., 2014",RVB,REP,Krysuvik,UndirhlÍðar,0,Krysuvik,Glacial,118000-10000,0,0,63.5946,-21.5324,Tuff breccia,48.2,1.71,15.72,0,11.93,0,0.2,8.08,11.65,2.17,0.17,0.15,0,0,0,99.99,8.350731159,0.820098274
